,country,city,lat,lng,temp,humidity,cloudiness,wind speed,datetime
118,RU,Verkhnevilyuysk,63.4453,120.3167,-29.3,87,90,1.43,1613085641
119,IN,Shāhpura,27.3833,75.9667,15.0,58,20,1.54,1613085617
120,BR,Paranaíba,-19.6772,-51.1908,24.11,80,86,2.88,1613085645
121,US,St. Pete Beach,27.7253,-82.7412,24.44,83,1,4.63,1613085647
122,NP,Khanbari,27.3747,87.2039,12.12,58,25,1.09,1613085648
123,PH,Dingle,10.9995,122.6711,24.61,87,100,1.1,1613085649
124,CH,Luan,46.3592,6.9759,-1.11,81,99,1.34,1613085650
125,RU,Dikson,73.5069,80.5464,-26.12,89,100,1.72,1613085651
126,ID,Sorong,-0.8833,131.25,27.53,83,80,1.9,1613085653
127,FR,Saint-François,46.4154,3.9054,-2.0,80,75,4.63,1613085654
128,NA,Walvis Bay,-22.9575,14.5053,21.11,83,34,2.06,1613085656
129,US,Sitka,57.0531,-135.33,-1.0,29,1,3.45,1613085657
130,RU,Evensk,61.95,159.2333,-16.95,84,0,3.24,1613085659
131,PT,Rabo de Peixe,37.8,-25.5833,16.11,88,40,9.77,1613085661
132,MX,Cabo San Lucas,22.8909,-109.9124,22.22,60,20,5.14,1613085662
133,JP,Gushikawa,26.3544,127.8686,19.0,82,75,10.8,1613085663
134,NA,Rundu,-17.9333,19.7667,19.37,78,95,1.26,1613085665
135,ID,Labuhan,-6.8844,112.2051,24.99,87,100,3.11,1613085669
136,RU,Provideniya,64.3833,-173.3,-21.0,59,0,16.0,1613085670
137,IT,Province of Trapani,37.8333,12.6667,15.56,87,20,3.09,1613085673
138,US,Hilo,19.7297,-155.09,23.0,78,90,2.91,1613085674
139,CI,Boundiali,9.5217,-6.4869,23.86,19,39,0.5,1613085675
140,GR,Ierapetra,35.01,25.7353,13.89,70,1,3.05,1613085676
141,LY,Waddān,29.1614,16.139,13.47,71,0,2.78,1613085678
142,NO,Sistranda,63.7256,8.834,-5.0,80,0,2.06,1613085679
143,AU,Carnarvon,-24.8667,113.6333,24.0,78,75,7.2,1613085680
144,AU,Port Lincoln,-34.7333,135.8667,17.11,65,85,5.26,1613085681
145,ZA,Kruisfontein,-34.0033,24.7314,23.89,87,100,2.68,1613085426
146,ML,Araouane,18.9048,-3.5265,22.64,15,2,4.4,1613085684
147,ID,Bengkulu,-3.8004,102.2655,24.52,85,100,2.13,1613085685
148,AU,Yulara,-25.2406,130.9889,25.0,94,90,3.6,1613085405
149,IS,Grindavik,63.8424,-22.4338,3.0,81,75,8.75,1613085418
150,BR,São João da Barra,-21.6403,-41.0511,25.27,85,92,5.42,1613085690
151,US,Kapaa,22.0752,-159.319,25.0,53,90,4.12,1613085469
152,PR,Guánica,17.9716,-66.908,23.89,75,5,5.34,1613085693
153,RU,Pevek,69.7008,170.3133,-30.68,83,12,0.71,1613085694
154,BR,Arraial do Cabo,-22.9661,-42.0278,24.0,94,75,3.6,1613085696
155,ES,Soria,41.6667,-2.6667,7.22,94,100,0.89,1613085697
156,PL,Bielsk Podlaski,52.7651,23.1865,-13.33,85,100,1.79,1613085698
157,LS,Mafeteng,-29.823,27.2374,18.38,58,100,1.65,1613085699
158,CL,Lebu,-37.6167,-73.65,16.46,85,25,6.1,1613085701
159,JP,Nago,26.5881,127.9761,19.0,82,75,10.8,1613085490
160,TH,Surin,14.8818,103.4936,19.44,81,15,3.24,1613085703
161,ID,Atambua,-9.1061,124.8925,24.87,82,82,0.57,1613085680
162,BJ,Porto-Novo,6.4965,2.6036,30.0,84,40,5.66,1613085706
163,MU,Cap Malheureux,-19.9842,57.6142,25.56,72,97,1.79,1613085707
164,FR,La Flèche,47.6982,-0.0755,0.0,74,0,6.69,1613085708
165,GB,Yeovil,50.9416,-2.6321,0.56,69,75,8.23,1613085651
166,NA,Henties Bay,-22.116,14.2845,21.11,86,87,0.61,1613085712
167,AR,Mar del Plata,-38.0023,-57.5575,21.11,94,90,5.66,1613085581
168,PG,Kavieng,-2.5744,150.7967,28.36,75,78,4.2,1613085714
169,US,Port Hueneme,34.1478,-119.1951,17.0,88,20,4.63,1613085717
170,GY,Lethem,3.3803,-59.7968,28.81,54,50,3.69,1613085718
171,US,Adelanto,34.5828,-117.4092,20.0,20,62,2.68,1613085719
172,CA,Ucluelet,48.9329,-125.5528,3.89,56,90,3.09,1613085675
173,RU,Kortkeros,61.8106,51.5806,-26.0,84,100,3.0,1613085721
174,BR,Castro,-24.7911,-50.0119,16.46,94,93,2.19,1613085723
175,JP,Nagato,34.3833,131.2,7.0,81,0,1.54,1613085724
176,MU,Bambous Virieux,-20.3428,57.7575,26.0,78,75,3.09,1613085725
177,BR,Aripuanã,-9.1667,-60.6333,22.72,98,99,0.45,1613085726
178,RU,Beringovskiy,63.05,179.3167,-30.23,84,59,8.22,1613085729
